"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"366","2.67440091","0.00286389","0.37391552","0.18095238","15","5","false","HSPA4","210.8","15","0","0","0.79069989","false","0","HSPA4","2000968","0.09108997"
"368","2.80410803","4.0012E-4","0.35661964","0.25","9","5","false","HDAC6","253.77777778","9","0","0","0.7744865","false","0","HDAC6","403050","0.14895283"
"370","3.19608216","4.775E-5","0.31288307","0.0","3","6","false","LMO4","234.66666667","3","0","0","0.72548973","false","0","LMO4","49668","0.36004109"
"372","2.72156714","0.00183472","0.36743536","0.09356725","19","5","false","BTRC","171.89473684","19","0","0","0.78480411","false","0","BTRC","1363602","0.07565209"
"375","3.05743629","2.2218E-4","0.32707141","0.2","5","6","false","MAPT","210.0","5","0","0","0.74282046","false","0","MAPT","132868","0.22857143"
"377","2.82103461","0.00291076","0.35447988","0.08901515","33","6","false","SNAI1","49.63636364","33","0","0","0.77237067","false","0","SNAI1","1023662","0.04638103"
"379","3.36686953","5.55E-6","0.29701181","0.0","2","6","false","SMURF2","139.0","2","0","0","0.70414131","false","0","SMURF2","2906","0.51879699"
"381","2.87447699","1.6335E-4","0.34788937","0.46666667","6","5","false","TUBG1","368.16666667","6","0","0","0.76569038","false","0","TUBG1","237846","0.2048785"
"383","2.87029289","7.6041E-4","0.3483965","0.15384615","14","6","false","PTPN11","132.35714286","14","0","0","0.76621339","false","0","PTPN11","358088","0.0911959"
"385","3.25161658","7.515E-5","0.30753933","0.0","2","6","false","PCM1","449.0","2","0","0","0.71854793","false","0","PCM1","110806","0.51791908"
"387","3.26778243","1.679E-5","0.30601793","0.0","2","6","false","BICD1","232.5","2","0","0","0.7165272","false","0","BICD1","16856","0.52733485"
"390","3.47185242","0.0","0.28803068","0.0","1","6","false","KRBA1","243.0","1","0","0","0.69101845","false","0","KRBA1","0","0.0"
"392","3.2932674","1.227E-5","0.3036498","0.0","2","6","false","DEAF1","246.0","2","0","0","0.71334157","false","0","DEAF1","20076","0.54323725"
"394","3.42335489","1.193E-5","0.29211111","0.0","2","6","false","SPICE1","143.5","2","0","0","0.69708064","false","0","SPICE1","4952","0.50892857"
"396","3.05230126","3.0412E-4","0.32762166","0.0","4","6","false","RPS2","321.75","4","0","0","0.74346234","false","0","RPS2","378768","0.2774654"
"398","2.96957018","1.7276E-4","0.33674907","0.33333333","9","6","false","BAX","167.88888889","9","0","0","0.75380373","false","0","BAX","143434","0.14857424"
"400","3.17192849","6.472E-5","0.31526562","0.16666667","4","6","false","MED24","204.5","4","0","0","0.72850894","false","0","MED24","68452","0.28215768"
"402","2.89901103","2.9423E-4","0.34494522","0.25","8","6","false","KLF5","246.25","8","0","0","0.76262362","false","0","KLF5","299344","0.1583816"
"404","3.31627995","1.445E-5","0.3015427","0.0","2","6","false","PMAIP1","178.5","2","0","0","0.71046501","false","0","PMAIP1","9452","0.52052786"
"407","3.3896919","7.201E-5","0.29501206","0.0","2","6","false","DNM1L","169.0","2","0","0","0.70128851","false","0","DNM1L","17654","0.5045045"
"409","2.94427539","6.971E-5","0.33964214","0.66666667","6","6","false","BCL3","252.33333333","6","0","0","0.75696558","false","0","BCL3","86874","0.21790443"
"411","2.8100038","3.9603E-4","0.3558714","0.28888889","10","5","false","GAPDH","254.6","10","0","0","0.77374952","false","0","GAPDH","460512","0.13824009"
"414","2.87485736","5.2413E-4","0.34784334","0.06666667","6","6","false","SNRNP70","322.16666667","6","0","0","0.76564283","false","0","SNRNP70","766264","0.19944169"
"416","2.89501712","3.7259E-4","0.3454211","0.2","6","6","false","SF3B1","331.0","6","0","0","0.76312286","false","0","SF3B1","685962","0.20373793"
